year_month,zip_code,neighborhood,property_type,active_listings,new_listings,closed_sales,pending_sales,median_list_price,median_sale_price,avg_days_on_market,avg_list_to_sale_ratio,months_of_supply
2024-01,62701,Downtown,Single Family,14,6,5,4,290000,282000,19.2,0.981,2.80
2024-01,62702,Westside,Single Family,18,7,7,5,305000,299000,20.5,0.984,2.57
2024-01,62703,Northgate,Single Family,12,5,4,3,380000,375000,22.0,0.989,3.00
2024-01,62704,Southview,Single Family,16,5,5,4,230000,225000,24.3,0.975,3.20
2024-01,62701,Downtown,Condo,20,8,8,6,180000,182000,18.5,1.010,2.50
2024-01,62702,Westside,Condo,15,6,6,5,200000,202000,17.8,1.009,2.50
2024-01,62703,Northgate,Condo,11,4,4,3,150000,152000,19.0,1.013,2.75
2024-02,62701,Downtown,Single Family,13,5,5,4,292000,285000,19.0,0.982,2.60
2024-02,62702,Westside,Single Family,17,6,7,5,308000,302000,20.2,0.985,2.43
2024-02,62703,Northgate,Single Family,11,5,5,3,382000,377000,21.8,0.990,2.20
2024-02,62704,Southview,Single Family,15,5,5,4,232000,226000,23.8,0.975,3.00
2024-02,62701,Downtown,Condo,19,7,8,6,182000,184000,18.2,1.011,2.38
2024-02,62702,Westside,Condo,14,5,6,5,202000,204000,17.5,1.010,2.33
2024-02,62703,Northgate,Condo,10,4,4,3,152000,154000,18.8,1.013,2.50
2024-03,62701,Downtown,Single Family,15,6,6,5,295000,288000,19.5,0.983,2.50
2024-03,62702,Westside,Single Family,16,6,8,5,310000,305000,19.8,0.986,2.00
2024-03,62703,Northgate,Single Family,12,6,5,4,385000,380000,21.5,0.991,2.40
2024-03,62704,Southview,Single Family,14,5,6,4,234000,228000,23.5,0.975,2.33
2024-03,62701,Downtown,Condo,21,9,9,7,184000,186000,18.0,1.011,2.33
2024-03,62702,Westside,Condo,15,6,7,5,204000,206000,17.3,1.010,2.14
2024-03,62703,Northgate,Condo,12,5,5,4,154000,156000,18.5,1.013,2.40
2024-04,62701,Downtown,Single Family,16,7,6,5,298000,291000,19.2,0.984,2.67
2024-04,62702,Westside,Single Family,17,7,8,6,312000,307000,19.5,0.987,2.13
2024-04,62703,Northgate,Single Family,13,6,6,4,388000,383000,21.2,0.991,2.17
2024-04,62704,Southview,Single Family,15,6,6,4,236000,230000,23.2,0.976,2.50
2024-04,62701,Downtown,Condo,22,9,10,7,186000,188000,17.8,1.011,2.20
2024-04,62702,Westside,Condo,16,7,7,6,206000,208000,17.0,1.010,2.29
2024-04,62703,Northgate,Condo,13,5,5,4,156000,158000,18.2,1.013,2.60
2024-05,62701,Downtown,Single Family,17,7,7,5,300000,293000,19.0,0.984,2.43
2024-05,62702,Westside,Single Family,18,8,9,6,315000,310000,19.2,0.987,2.00
2024-05,62703,Northgate,Single Family,14,6,7,5,391000,386000,20.8,0.992,2.00
2024-05,62704,Southview,Single Family,16,6,7,5,238000,232000,22.8,0.977,2.29
2024-05,62701,Downtown,Condo,23,10,10,8,188000,190000,17.5,1.011,2.30
2024-05,62702,Westside,Condo,17,7,8,6,208000,210000,16.8,1.010,2.13
2024-05,62703,Northgate,Condo,14,6,6,4,158000,160000,18.0,1.013,2.33
2024-06,62701,Downtown,Single Family,18,8,8,6,302000,295000,18.8,0.985,2.25
2024-06,62702,Westside,Single Family,19,8,10,7,318000,313000,18.8,0.988,1.90
2024-06,62703,Northgate,Single Family,15,7,8,5,394000,389000,20.5,0.992,1.88
2024-06,62704,Southview,Single Family,17,7,8,5,240000,234000,22.5,0.977,2.13
2024-06,62701,Downtown,Condo,24,10,11,8,190000,192000,17.2,1.011,2.18
2024-06,62702,Westside,Condo,18,8,9,6,210000,212000,16.5,1.010,2.00
2024-06,62703,Northgate,Condo,15,6,7,5,160000,162000,17.8,1.013,2.14
2024-07,62701,Downtown,Single Family,17,7,8,5,304000,297000,18.5,0.985,2.13
2024-07,62702,Westside,Single Family,18,8,10,6,320000,315000,18.5,0.988,1.80
2024-07,62703,Northgate,Single Family,14,6,8,5,396000,391000,20.2,0.993,1.75
2024-07,62704,Southview,Single Family,16,6,8,5,242000,236000,22.2,0.978,2.00
2024-07,62701,Downtown,Condo,23,9,11,7,192000,194000,17.0,1.010,2.09
2024-07,62702,Westside,Condo,17,7,9,6,212000,214000,16.2,1.009,1.89
2024-07,62703,Northgate,Condo,14,6,7,5,162000,164000,17.5,1.012,2.00
2024-08,62701,Downtown,Single Family,16,6,8,5,306000,299000,18.3,0.985,2.00
2024-08,62702,Westside,Single Family,17,7,10,6,322000,317000,18.2,0.988,1.70
