sale_id,sale_date,list_date,address,city,state,zip_code,neighborhood,property_type,bedrooms,bathrooms,sq_ft,lot_size_sqft,year_built,list_price,sale_price,days_on_market,price_per_sqft,list_to_sale_ratio,agent_name,brokerage
S001,2024-01-15,2023-12-28,123 Maple St,Springfield,IL,62701,Downtown,Single Family,3,2.0,1850,7200,1998,285000,279000,18,150.81,0.979,Jane Smith,Premier Realty
S002,2024-01-22,2024-01-05,456 Oak Ave,Springfield,IL,62702,Westside,Condo,2,2.0,1100,0,2005,195000,198500,17,180.45,1.018,Bob Johnson,City Living Realty
S003,2024-02-03,2024-01-10,789 Pine Rd,Springfield,IL,62703,Northgate,Single Family,4,2.5,2300,8500,2001,375000,370000,24,160.87,0.987,Carol Williams,Premier Realty
S004,2024-02-14,2024-01-30,321 Elm Dr,Springfield,IL,62701,Downtown,Townhouse,3,2.5,1650,1500,2010,310000,315000,15,190.91,1.016,Jane Smith,Premier Realty
S005,2024-02-28,2024-02-05,654 Cedar Ln,Springfield,IL,62704,Southview,Single Family,3,1.5,1600,6800,1985,225000,219000,23,136.88,0.973,David Lee,Horizon Homes
S006,2024-03-07,2024-02-15,987 Birch Blvd,Springfield,IL,62702,Westside,Single Family,5,3.0,2900,10200,2015,489000,485000,20,167.24,0.992,Carol Williams,Premier Realty
S007,2024-03-19,2024-03-01,147 Spruce Way,Springfield,IL,62703,Northgate,Condo,1,1.0,750,0,2018,145000,148000,18,197.33,1.021,Alice Brown,City Living Realty
S008,2024-03-25,2024-03-08,258 Willow Ct,Springfield,IL,62704,Southview,Single Family,4,2.0,2100,9000,1992,345000,338000,17,161.00,0.980,David Lee,Horizon Homes
S009,2024-04-02,2024-03-14,369 Ash St,Springfield,IL,62701,Downtown,Condo,2,1.5,980,0,2008,175000,175000,19,178.57,1.000,Bob Johnson,City Living Realty
S010,2024-04-11,2024-03-22,741 Poplar Ave,Springfield,IL,62702,Westside,Single Family,3,2.0,1750,7500,2003,299000,295000,20,168.57,0.987,Jane Smith,Premier Realty
